zip_code,lat,long,population
28216,35.3121032714844,-80.8887100219727,47208
28217,35.1687431335449,-80.9083633422852,24204
28226,35.1026954650879,-80.8221282958984,37286
28227,35.189567565918,-80.6454086303711,49635
28244,35.2246055603027,-80.8430938720703,0
28262,35.3220443725586,-80.739990234375,37547
28269,35.3373146057129,-80.8034744262695,71048
28270,35.1120338439941,-80.7646026611328,31525
28273,35.1273574829102,-80.9468460083008,31478
28277,35.0528755187988,-80.8175506591797,59664
28278,35.1330642700195,-81.0093002319336,19283
28280,35.2263336181641,-80.8430938720703,10
28282,35.2248153686523,-80.8452758789062,0
28301,35.0747985839844,-78.8842544555664,17165
28303,35.0856323242188,-78.959358215332,30909
28304,35.0255279541016,-78.9896011352539,37147
28305,35.0526084899902,-78.9072418212891,6073
28306,34.95849609375,-78.8968505859375,39683
28307,35.138557434082,-78.9818878173828,17631
28308,35.1715507507324,-79.0170822143555,405
28310,35.1631889343262,-79.0379638671875,3459
28311,35.1677703857422,-78.8886947631836,34567
28312,34.94775390625,-78.7381362915039,18538
28314,35.0529861450195,-79.0294494628906,54520
28315,35.1173057556152,-79.4315338134766,11681
28318,35.0198745727539,-78.6135711669922,4627
28320,34.5581207275391,-78.7727127075195,9229
28323,35.3147926330566,-78.8343734741211,3182
28325,35.153923034668,-78.1041412353516,508
28326,35.26904296875,-79.1546936035156,17646
28327,35.3546142578125,-79.4164962768555,15433
28328,35.0035018920898,-78.3379211425781,27042
28330,34.909595489502,-79.8219833374023,346
28332,34.659049987793,-78.737907409668,482
28333,35.2861328125,-78.0173721313477,11830
28334,35.2722091674805,-78.5681076049805,24908
28337,34.6570472717285,-78.5615615844727,10670
28338,35.1075134277344,-79.7596435546875,4607
28339,35.3105392456055,-78.7327499389648,6751
28340,34.4713554382324,-79.1344223022461,10765
28341,35.1198768615723,-78.1744384765625,4257
28342,35.1911811828613,-78.6512603759766,298
28343,34.7573623657227,-79.5648727416992,1685
28344,35.1604995727539,-78.6245727539062,3415
28345,34.870288848877,-79.665641784668,12592
28347,35.0622673034668,-79.6316604614258,1983
28348,34.9149742126465,-78.9270172119141,33307
28349,34.9811592102051,-77.9270553588867,3724
28350,35.2431602478027,-79.3140182495117,305
28351,34.8482704162598,-79.563850402832,4759
28352,34.7678413391113,-79.4517288208008,25641
28356,35.2370185852051,-78.790397644043,5018
28357,34.9020805358887,-79.0829925537109,3125
28358,34.6078567504883,-78.9347686767578,38738
28360,34.6703262329102,-79.0749435424805,14263
28363,34.9607810974121,-79.5546646118164,1202
28364,34.7079277038574,-79.3226776123047,14809
28365,35.1723289489746,-78.0522842407227,17144
28366,35.2302284240723,-78.3620147705078,5061
28367,35.1726913452148,-79.7252502441406,87
28369,34.4233741760254,-79.0294189453125,2652
28371,34.9031600952148,-78.9795532226562,6519
28372,34.6968727111816,-79.177619934082,14783
28373,35.0934715270996,-79.485595703125,2150
28374,35.197452545166,-79.4629592895508,15990
